Unnamed: 0;Station;lat;long;entidad;FreqInf;Obsv_freq
0;11105020;7.154333333;-76.97719444;IDEAM;h;
1;11135030;8.036722222;-77.08786111;IDEAM;h;
2;12015100;7.94075;-76.69616667;IDEAM;h;Inicio 15min
3;12015110;7.671138889;-76.69405556;IDEAM;h;
4;13085050;9.252722222;-75.84441667;IDEAM;h;
5;15085050;12.08352778;-71.21094444;IDEAM;h;
6;16055120;8.22769;-73.3975;IDEAM;h;
7;21015040;2.021583333;-76.11433333;IDEAM;h;
8;21015050;1.925916667;-76.42755556;IDEAM;h;
9;21015070;1.675833;-76.106841;IDEAM;h;
10;21055070;2.548194444;-76.06394444;IDEAM;h;
11;21115010;3.234472222;-75.16819444;IDEAM;h;
12;21115170;2.759138889;-75.07455556;IDEAM;h;
13;21115180;3.133055556;-75.08152778;IDEAM;h;
14;21195170;3.993611111;-74.39805556;IDEAM;h;
15;21195190;4.307188889;-74.30839889;IDEAM;h;
16;21201200;4.34264;-74.18381;IDEAM;min;Muy incompleto
17;21201580;4.44647201;-74.154839;IDEAM;min;
18;21201980;4.59157;-74.05471;FOPAE;min;
19;21202180;4.54311;-74.15601;FOPAE;min;
20;21202190;4.51872;-74.08867;FOPAE;min;
21;21202220;4.62789;-74.0587;FOPAE;min;
22;21202240;4.63546;-74.05746;FOPAE;min;
23;21202250;4.50082;-74.13739;FOPAE;min;
24;21206780;4.619272;-74.194594;FOPAE;min;
25;21206810;4.56365303;-74.13845;EP;min;Muchos faltantes
26;21206890;4.66577;-74.02861;FOPAE;min;
27;21206930;5.08644;-74.02217;IDEAM;h;
28;21206950;5.236055556;-73.52508333;IDEAM;h;
29;21206990;4.68863;-74.20559;IDEAM;h;
30;21208480;4.61104201;-74.178333;EAAB;min;
31;21215160;4.470361111;-75.24386111;IDEAM;h;
32;21255170;4.870555556;-75.17327778;IDEAM;h;
33;22075050;4.075805556;-75.70083333;IDEAM;h;
34;23125160;5.647027778;-74.07130556;IDEAM;h;
35;23195040;7.144722222;-73.12222222;IDEAM;h;
36;23195240;8.123416667;-73.57986111;IDEAM;h;
37;24015110;5.303805556;-73.85175;IDEAM;h;
38;24035370;6.50675;-72.45275;IDEAM;h;
39;24035390;6.94539;-72.69633;IDEAM;h;
40;24035430;5.74583;-73.11636;IDEAM;h;
41;24055070;6.82339;-73.47206;IDEAM;h;
42;24055080;6.98297;-73.70489;IDEAM;h;
43;25025340;8.596833333;-75.14269444;IDEAM;h;
44;26015010;2.474833056;-76.58129361;IDEAM;min;
45;26015030;2.356848889;-76.40354444;IDEAM;h;
46;26015040;2.448041111;-76.43574694;IDEAM;min;
47;26035100;2.479555556;-76.82775;IDEAM;h;
48;26055100;3.416055556;-76.6515;IDEAM;h;
49;26055110;3.185361111;-76.56930556;IDEAM;h;
50;26055120;3.378;-76.53388889;IDEAM;h;
51;26095320;3.360416667;-76.30000556;IDEAM;h;
52;26105250;4.689777778;-75.92519444;IDEAM;h;
53;26135290;4.929583333;-75.73838889;IDEAM;h;
54;26135300;4.728583056;-75.57822222;IDEAM;h;
55;26145090;5.207472222;-75.90294444;IDEAM;h;
56;26155240;4.859444444;-75.38241667;IDEAM;h;
57;26185030;5.799166667;-75.78952778;IDEAM;h;
58;27015280;6.632027778;-75.64444444;IDEAM;h;
59;28025120;10.02908333;-73.04619444;IDEAM;h;
60;29045150;7.746027778;-76.4325;IDEAM;h;
61;35017020;4.103019444;-72.93638333;IDEAM;h;
62;35020300;4.253916667;-74.00269444;IDEAM;h;
63;35025080;4.661;-73.82733;IDEAM;h;
64;35025090;4.664888889;-73.84663889;IDEAM;h;
65;35025110;4.057361111;-73.46791667;IDEAM;h;
66;35035130;4.713666667;-73.80325;IDEAM;h;
67;35075070;5.21639;-73.34697;IDEAM;h;
68;35075080;5.39239;-73.56278;IDEAM;h;
69;35085070;4.84125;-73.25669444;IDEAM;h;
70;35095120;5.55663;-72.88175;IDEAM;h;
71;35185010;4.260361111;-72.56447222;IDEAM;h;
72;35260050;5.561361111;-70.28063889;IDEAM;h;
73;36015020;5.816194444;-71.41983333;IDEAM;h;
74;37015030;7.187;-72.8685;IDEAM;h;
75;44035040;1.733;-75.64502778;IDEAM;h;
76;46015030;2.063;-74.76269444;IDEAM;h;
77;47035030;-0.173722222;-74.89813889;IDEAM;h;
78;48015040;-3.780305556;-70.36263889;IDEAM;h;
79;51025060;1.408638889;-78.28161111;IDEAM;h;
80;52015050;2.032777778;-77.22166667;IDEAM;h;
81;52025090;2.193833333;-76.75033333;IDEAM;h;
82;52035040;1.62;-77.34;IDEAM;10min;
83;52055150;0.843111111;-77.38880556;IDEAM;h;
84;52055160;0.846583333;-77.92122222;IDEAM;h;
85;52055210;1.16;-77.27880556;IDEAM;h;
86;52055220;1.070707855;-77.63693569;IDEAM;h;
87;53075020;2.311416667;-77.25877778;IDEAM;h;
88;54017040;5.265111111;-76.56275;IDEAM;4min;
89;57025020;2.962944444;-78.17436111;IDEAM;h;
90;2120000104;4.81326;-74.03146;IDIGER;min;
91;2120000105;4.763457;-74.021772;IDIGER;min;
92;2120000106;4.5117;-74.16352222;IDIGER;min;
93;2120000107;4.53602;-74.10654;IDIGER;min;
94;2120000133;4.56144;-74.07482;IDIGER;min;
95;2120000142;4.63537;-74.20541;IDIGER;min;
96;2120000172;4.75947;-74.02752;IDIGER;min;
97;2120500201;4.57515;-74.07175;IDIGER;min;
98;2120500203;4.53335;-74.12513;IDIGER;min;
99;2120700037;4.556439;-74.125173;IDIGER;min;
100;2120700038;4.56235;-74.148869;IDIGER;min;
101;3526500201;5.480888889;-70.42130556;IDEAM;h;
